iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
1,14,Tensor,leaf,t,1207,,,384,384,46083424,413179904,48,0,0.0,0.0,0.0,"t(i_3,i_1;a_4i_1i_3,a_3i_1i_3)","t(i_3,i_1;a_4i_1i_3,a_3i_1i_3)",,,,"i,i,a,a",";;i_1,i_3;i_1,i_3","7,7,,",7 × 7 × ? × ?,,
1,14,Product,intermediate,I,179072,384,384,384,384,46083424,413179904,48,0,0.0,0.0,0.0,"I(i_1,i_3;a_3i_1i_3) * t(i_3,i_1;a_4i_1i_3,a_3i_1i_3) -> I(i_3,i_1;a_4i_1i_3)","I(i_3,i_1;a_4i_1i_3)","I(i_1,i_3;a_3i_1i_3)","t(i_3,i_1;a_4i_1i_3,a_3i_1i_3)","I(i_3,i_1;a_4i_1i_3)","i,i,a",";;i_1,i_3","7,7,",7 × 7 × ?,,
1,14,Tensor,leaf,C,9150,,,2207664,2207664,46083424,413179904,275958,246870,-5695.615034274957,223631163.21246105,731.2730436956697,"C(i_3,i_1,μ̃_19619;a_4i_1i_3)","C(i_3,i_1,μ̃_19619;a_4i_1i_3)",,,,"i,i,μ̃,a",";;;i_1,i_3","7,7,114,",7 × 7 × 114 × ?,,
1,14,Product,intermediate,I,416263,384,2207664,432,432,46083424,413179904,54,0,0.0,0.0,0.0,"I(i_3,i_1;a_4i_1i_3) * C(i_3,i_1,μ̃_19619;a_4i_1i_3) -> I(μ̃_19619,i_1)","I(μ̃_19619,i_1)","I(i_3,i_1;a_4i_1i_3)","C(i_3,i_1,μ̃_19619;a_4i_1i_3)","I(μ̃_19619,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,14,Tensor,leaf,s,13234,,,125584,125584,46083424,413179904,15698,12996,138.52037144982427,140.242752948763,0.9820999861813638,"s(μ̃_19619,μ̃_19620)","s(μ̃_19619,μ̃_19620)",,,,"μ̃,μ̃",;,"114,114",114 × 114,103968,1.20791
1,14,Product,intermediate,I,203603,432,125584,432,432,46083424,413179904,54,0,0.0,0.0,0.0,"I(μ̃_19619,i_1) * s(μ̃_19619,μ̃_19620) -> I(μ̃_19620,i_1)","I(μ̃_19620,i_1)","I(μ̃_19619,i_1)","s(μ̃_19619,μ̃_19620)","I(μ̃_19620,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,14,Tensor,leaf,C,10330,,,481264,481264,46083424,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19620;a_1i_1)","C(i_1,μ̃_19620;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,14,Product,intermediate,I,236582,432,481264,376,376,46083424,413179904,47,0,0.0,0.0,0.0,"I(μ̃_19620,i_1) * C(i_1,μ̃_19620;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(μ̃_19620,i_1)","C(i_1,μ̃_19620;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,14,Constant,constant,_const,1000,,,8,8,46083424,413179904,1,,,,,-2,-2,,,,,,,scalar,8,1
1,14,Product,residual,R,39509,376,8,376,376,46083424,413179904,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * -2 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),-2,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,14,Permute,residual,R,50724,,,376,376,46083424,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,15,Tensor,leaf,C,11101,,,481264,481264,46083424,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19649;a_1i_1)","C(i_1,μ̃_19649;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,15,Product,intermediate,I,259608,432,481264,376,376,46083424,413179904,47,0,0.0,0.0,0.0,"I(i_1,μ̃_19649) * C(i_1,μ̃_19649;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(i_1,μ̃_19649)","C(i_1,μ̃_19649;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,15,Constant,constant,_const,758,,,8,8,46083424,413179904,1,,,,,2,2,,,,,,,scalar,8,1
1,15,Product,residual,R,68513,376,8,376,376,46083424,413179904,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * 2 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),2,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,15,Permute,residual,R,44043,,,376,376,46083424,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,16,Tensor,leaf,t,1237,,,384,384,46083424,413179904,48,0,0.0,0.0,0.0,"t(i_1,i_3;a_4i_1i_3,a_3i_1i_3)","t(i_1,i_3;a_4i_1i_3,a_3i_1i_3)",,,,"i,i,a,a",";;i_1,i_3;i_1,i_3","7,7,,",7 × 7 × ? × ?,,
1,16,Product,intermediate,I,135338,384,384,384,384,46083424,413179904,48,0,0.0,0.0,0.0,"I(i_1,i_3;a_3i_1i_3) * t(i_1,i_3;a_4i_1i_3,a_3i_1i_3) -> I(i_3,i_1;a_4i_1i_3)","I(i_3,i_1;a_4i_1i_3)","I(i_1,i_3;a_3i_1i_3)","t(i_1,i_3;a_4i_1i_3,a_3i_1i_3)","I(i_3,i_1;a_4i_1i_3)","i,i,a",";;i_1,i_3","7,7,",7 × 7 × ?,,
1,16,Tensor,leaf,C,11638,,,2207664,2207664,46083424,413179904,275958,246870,-5695.615034274957,223631163.21246105,731.2730436956697,"C(i_3,i_1,μ̃_19664;a_4i_1i_3)","C(i_3,i_1,μ̃_19664;a_4i_1i_3)",,,,"i,i,μ̃,a",";;;i_1,i_3","7,7,114,",7 × 7 × 114 × ?,,
1,16,Product,intermediate,I,357308,384,2207664,432,432,46083424,413179904,54,0,0.0,0.0,0.0,"I(i_3,i_1;a_4i_1i_3) * C(i_3,i_1,μ̃_19664;a_4i_1i_3) -> I(μ̃_19664,i_1)","I(μ̃_19664,i_1)","I(i_3,i_1;a_4i_1i_3)","C(i_3,i_1,μ̃_19664;a_4i_1i_3)","I(μ̃_19664,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,16,Tensor,leaf,s,10770,,,125584,125584,46083424,413179904,15698,12996,138.52037144982427,140.242752948763,0.9820999861813638,"s(μ̃_19664,μ̃_19665)","s(μ̃_19664,μ̃_19665)",,,,"μ̃,μ̃",;,"114,114",114 × 114,103968,1.20791
1,16,Product,intermediate,I,185102,432,125584,432,432,46083424,413179904,54,0,0.0,0.0,0.0,"I(μ̃_19664,i_1) * s(μ̃_19664,μ̃_19665) -> I(μ̃_19665,i_1)","I(μ̃_19665,i_1)","I(μ̃_19664,i_1)","s(μ̃_19664,μ̃_19665)","I(μ̃_19665,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,16,Tensor,leaf,C,7601,,,481264,481264,46083424,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19665;a_1i_1)","C(i_1,μ̃_19665;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,16,Product,intermediate,I,248752,432,481264,376,376,46083424,413179904,47,0,0.0,0.0,0.0,"I(μ̃_19665,i_1) * C(i_1,μ̃_19665;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(μ̃_19665,i_1)","C(i_1,μ̃_19665;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,16,Constant,constant,_const,1074,,,8,8,46083424,413179904,1,,,,,4,4,,,,,,,scalar,8,1
1,16,Product,residual,R,66673,376,8,376,376,46083424,413179904,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * 4 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),4,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,16,Permute,residual,R,59828,,,376,376,46083424,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,17,Tensor,leaf,g,10387,,,29489328,29489328,51571648,413179904,3686166,3664872,328.03408291046196,123.92989425956745,0.8503952014554764,"g(μ̃_19641,μ̃_19642,Κ_1)","g(μ̃_19641,μ̃_19642,Κ_1)",,,,"μ̃,μ̃,Κ",;;,"114,114,282",114 × 114 × 282,29318976,1.00581
