iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
2,33,Product,intermediate,I,3818697,2207664,792440,2207664,2207664,406323000,1345941504,275958,,,,,"C(i_4,i_3,μ̃_19902;a_5i_3i_4) * t(i_4,i_3;a_5i_3i_4,a_4i_3i_4) -> I(μ̃_19902,i_4,i_3;a_4i_3i_4)","I(μ̃_19902,i_4,i_3;a_4i_3i_4)","C(i_4,i_3,μ̃_19902;a_5i_3i_4)","t(i_4,i_3;a_5i_3i_4,a_4i_3i_4)","I(μ̃_19902,i_4,i_3;a_4i_3i_4)","μ̃,i,i,a",";;;i_3,i_4","114,7,7,",114 × 7 × 7 × ?,,
2,33,Tensor,leaf,C,19378,,,2207664,2207664,406323000,1345941504,275958,,,,,"C(i_4,i_3,μ̃_19903;a_4i_3i_4)","C(i_4,i_3,μ̃_19903;a_4i_3i_4)",,,,"i,i,μ̃,a",";;;i_3,i_4","7,7,114,",7 × 7 × 114 × ?,,
2,33,Product,intermediate,I,217538605,2207664,2207664,5179792,5179792,410710352,1345941504,647474,624978,-59211.743744764,45830112.90553997,682.6461360934676,"I(μ̃_19902,i_4,i_3;a_4i_3i_4) * C(i_4,i_3,μ̃_19903;a_4i_3i_4) -> I(μ̃_19903,μ̃_19902,i_3,i_4)","I(μ̃_19903,μ̃_19902,i_3,i_4)","I(μ̃_19902,i_4,i_3;a_4i_3i_4)","C(i_4,i_3,μ̃_19903;a_4i_3i_4)","I(μ̃_19903,μ̃_19902,i_3,i_4)","μ̃,μ̃,i,i",;;;,"114,114,7,7",114 × 114 × 7 × 7,5094432,1.01676
2,33,Product,intermediate,I,381571,432,5179792,1392,1392,410710352,1345941504,174,0,0.0,0.0,0.0,"I(i_3,i_1,i_4,i_2) * I(μ̃_19903,μ̃_19902,i_3,i_4) -> I(i_1,μ̃_19902,μ̃_19903,i_2)","I(i_1,μ̃_19902,μ̃_19903,i_2)","I(i_3,i_1,i_4,i_2)","I(μ̃_19903,μ̃_19902,i_3,i_4)","I(i_1,μ̃_19902,μ̃_19903,i_2)","i,μ̃,μ̃,i",;;;,"7,114,114,7",7 × 114 × 114 × 7,5094432,0.000273239
2,33,Product,intermediate,I,582966,1392,2226240,496,496,410710352,1345941504,62,,,,,"I(i_1,μ̃_19902,μ̃_19903,i_2) * I(i_2,i_1,μ̃_19902;a_2i_1i_2) -> I(i_1,μ̃_19903,i_2;a_2i_1i_2)","I(i_1,μ̃_19903,i_2;a_2i_1i_2)","I(i_1,μ̃_19902,μ̃_19903,i_2)","I(i_2,i_1,μ̃_19902;a_2i_1i_2)","I(i_1,μ̃_19903,i_2;a_2i_1i_2)","i,μ̃,i,a",";;;i_1,i_2","7,114,7,",7 × 114 × 7 × ?,,
2,33,Product,intermediate,I,427230,496,2226240,384,384,410710352,1345941504,48,,,,,"I(i_1,μ̃_19903,i_2;a_2i_1i_2) * I(i_2,i_1,μ̃_19903;a_1i_1i_2) -> I(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","I(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","I(i_1,μ̃_19903,i_2;a_2i_1i_2)","I(i_2,i_1,μ̃_19903;a_1i_1i_2)","I(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,33,Constant,constant,_const,1819,,,8,8,410710352,1345941504,1,,,,,2,2,,,,,,,scalar,8,1
2,33,Product,residual,R,70540,384,8,384,384,410710352,1345941504,48,,,,,"I(i_1,i_2;a_2i_1i_2,a_1i_1i_2) * 2 -> R(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","R(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","I(i_1,i_2;a_2i_1i_2,a_1i_1i_2)",2,"R(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,33,Permute,residual,R,69736,,,384,384,410710352,1345941504,48,,,,,"R(i_1,i_2;a_2i_1i_2,a_1i_1i_2)","R(i_1,i_2;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,34,Product,intermediate,I,277707,334432,432,384,384,410710352,1345941504,48,0,0.0,0.0,0.0,"I(i_3,i_2,i_4,μ̃_19767) * I(μ̃_19767,i_3) -> I(i_4,i_2)","I(i_4,i_2)","I(i_3,i_2,i_4,μ̃_19767)","I(μ̃_19767,i_3)","I(i_4,i_2)","i,i",;,"7,7",7 × 7,392,0.979592
2,34,Product,intermediate,I,285283,384,5489512,400,400,410710352,1345941504,50,,,,,"I(i_4,i_2) * I(i_2,i_4,i_1;a_1i_1i_2,a_4i_1i_4) -> I(i_1,i_2,i_4;a_1i_1i_2,a_4i_1i_4)","I(i_1,i_2,i_4;a_1i_1i_2,a_4i_1i_4)","I(i_4,i_2)","I(i_2,i_4,i_1;a_1i_1i_2,a_4i_1i_4)","I(i_1,i_2,i_4;a_1i_1i_2,a_4i_1i_4)","i,i,i,a,a",";;;i_1,i_2;i_1,i_4","7,7,7,,",7 × 7 × 7 × ? × ?,,
2,34,Tensor,leaf,t,2258,,,792440,792440,410710352,1345941504,99055,,,,,"t(i_4,i_1;a_5i_1i_4,a_4i_1i_4)","t(i_4,i_1;a_5i_1i_4,a_4i_1i_4)",,,,"i,i,a,a",";;i_1,i_4;i_1,i_4","7,7,,",7 × 7 × ? × ?,,
2,34,Product,intermediate,I,16759693,5489512,792440,5489512,5489512,414784640,1345941504,686189,,,,,"I(i_4,i_2,i_1;a_5i_1i_4,a_2i_1i_2) * t(i_4,i_1;a_5i_1i_4,a_4i_1i_4) -> I(i_2,i_4,i_1;a_2i_1i_2,a_4i_1i_4)","I(i_2,i_4,i_1;a_2i_1i_2,a_4i_1i_4)","I(i_4,i_2,i_1;a_5i_1i_4,a_2i_1i_2)","t(i_4,i_1;a_5i_1i_4,a_4i_1i_4)","I(i_2,i_4,i_1;a_2i_1i_2,a_4i_1i_4)","i,i,i,a,a",";;;i_1,i_2;i_1,i_4","7,7,7,,",7 × 7 × 7 × ? × ?,,
2,34,Product,intermediate,I,481059,400,5489512,384,384,414784640,1345941504,48,,,,,"I(i_1,i_2,i_4;a_1i_1i_2,a_4i_1i_4) * I(i_2,i_4,i_1;a_2i_1i_2,a_4i_1i_4) -> I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_1,i_2,i_4;a_1i_1i_2,a_4i_1i_4)","I(i_2,i_4,i_1;a_2i_1i_2,a_4i_1i_4)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,34,Constant,constant,_const,2119,,,8,8,414784640,1345941504,1,,,,,2,2,,,,,,,scalar,8,1
2,34,Product,residual,R,59687,384,8,384,384,414784640,1345941504,48,,,,,"I(i_2,i_1;a_2i_1i_2,a_1i_1i_2) * 2 -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",2,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,34,Permute,residual,R,68702,,,384,384,414784640,1345941504,48,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,35,Product,intermediate,I,269397,139048,400,384,384,414784640,1345941504,48,,,,,"I(i_3,i_2,i_1;a_2i_1i_2) * I(i_2,i_1,i_3;a_1i_1i_2) -> I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_3,i_2,i_1;a_2i_1i_2)","I(i_2,i_1,i_3;a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,35,Constant,constant,_const,1158,,,8,8,414784640,1345941504,1,,,,,-2,-2,,,,,,,scalar,8,1
2,35,Product,residual,R,67609,384,8,384,384,414784640,1345941504,48,,,,,"I(i_2,i_1;a_2i_1i_2,a_1i_1i_2) * -2 -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",-2,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,35,Permute,residual,R,63084,,,384,384,414784640,1345941504,48,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
